"Nº","NOMBRE","PRESENTACIÓN DE ESCRITURA (Art.5°)","REPAROS
A ESCRITURA DE
CONSTITUCIÓN
(Art.5º, inc.3°)","","PARTIDO EN
FORMACIÓN
(Art.5º, inc.4º)","","CADUCIDAD POR NO PRESENTAR AFILIADOS
EN PLAZO LEGAL
(Art.7°)","","INSCRIPCIÓN EN REGISTRO DE PARTIDOS POLÍTICOS
(Art.14º, inc.1º)","","","DISOLUCIÓN
(Art.42º)","PARTIDOS ACTIVOS Y TIEMPO DE VIGENCIA (Hasta 6 de junio de 2024)","TIEMPO DE EXISTENCIA DEL PARTIDO","years","months","days","Meses de vida","Idia","Imes","Iaño","Ddia","Dmes","Dyear","Fecha Inicio","Fecha Disolución"
"78"," PARTIDO HUMANISTA Fusión de Partido Humanista","02.05.02","","","14.05.02","","","","26.06.02","","","01.06.06","","4 AÑOS, 0 MESES Y 27 DÍAS","4","0","27","48","2","5","2002","1","6","2006","2002/05/02","2006/06/01"
"79"," PARTIDO ALIANZA REGIONALISTA LIBERAL","04.04.03","24.03.03","","03.05.03","","15.12.03","","","","","15.12.03","","0 AÑOS, 8 MESES Y 10 DÍAS","0","8","10","8","4","4","2003","15","12","2003","2003/04/04","2003/12/15"
"80"," NUEVA FUERZA NACIONAL","20.10.03","15.10.03","","28.10.03","","11.06.04","","","","","11.06.04","","0 AÑOS, 7 MESES Y 19 DÍAS","0","7","19","7","20","10","2003","11","6","2004","2003/10/20","2004/06/11"
"81"," PARTIDO LIBERAL","06.11.03","13.11.03","","17.01.03","","15.12.03","","","","","15.12.03","","0 AÑOS, 1 MES Y 9 DÍAS","0","1","9","1","6","11","2003","15","12","2003","2003/11/06","2003/12/15"
"82"," PARTIDO DE ACCIÓN REGIONALISTA DE CHILE","11.02.04","03.02.04","","27.02.04","","","","04.07.05","","","04.07.06","","2 AÑOS, 4 MESES Y 22 DÍAS","2","4","22","28","11","2","2004","4","7","2006","2004/02/11","2006/07/04"
"83"," CHILEVE","27.02.04","16.04.04","","16.07.03","","12.04.04","","","","","12.04.04","","0 AÑOS, 1 MES Y 14 DÍAS","0","1","14","1","27","2","2004","12","4","2004","2004/02/27","2004/04/12"
"84"," PARTIDO PROGRESISTA DE CHILE","30.03.05","08.04.05","","","","","","","","","03.02.22","","16 AÑOS, 10 MESES Y 5 DÍAS","16","10","5","202","30","3","2005","3","2","2022","2005/03/30","2022/02/03"
"85"," PARTIDO REGIONALISTA INDEPENDIENTE (PRI)","15.05.06","","","20.05.06","","","","04.07.06","","","20.02.18","","11 AÑOS, 8 MESES Y 5 DÍAS","11","8","5","140","15","5","2006","20","2","2018","2006/05/15","2018/02/20"
"86"," PARTIDO ECOLOGISTA VERDE DE CHILE","22.12.06","29.01.07","","05.06.14","","","","21.01.08","","","03.02.22","","15 AÑOS, 1 MES Y 9 DÍAS ","15","1","9","181","22","12","2006","3","2","2022","2006/12/22","2022/02/03"
"87"," MOVIMIENTO UNITARIO NACIONAL","26.09.07","","","22.10.07","","29.05.08","","","","","29.05.08","","0 AÑOS, 8 MESES Y 3 DÍAS","0","8","3","8","26","9","2007","29","5","2008","2007/09/26","2008/05/29"
